ticker,date,time,headline,neg,neu,pos,compound
TSLA,2021-03-11,03:07PM,"Tesla, Nio stocks surge after Mizuho analyst said buy the EV leaders",0.0,1.0,0.0,0.0
TSLA,2021-03-11,03:53PM,Video Shows Tesla Model 3 Accelerating Away From Attempted Carjacking,0.0,1.0,0.0,0.0
TSLA,2021-03-11,04:03PM,"EV Startup That Drew Apple Interest Takes On Tesla, GM In Hot Pickup Market",0.0,0.812,0.188,0.4588
TSLA,2021-03-11,04:35PM,Stock Market Today: S&P 500 Sets New High as Biden Blesses Stimulus,0.0,0.753,0.247,0.5574
TSLA,2021-03-11,08:00PM,Can Fuel Cell Cars Compete With The EV Boom?,0.0,1.0,0.0,0.0
TSLA,2021-03-11,09:01PM,"Fire at Tesla's Fremont factory under control, no injuries reported",0.365,0.635,0.0,-0.5574
TSLA,2021-03-11,09:54PM,"Tesla Changes Vehicle Prices by as Much as $10,000 in Web Update",0.0,1.0,0.0,0.0
TSLA,2021-03-11,10:58PM,Teslas Giga Press catches fire at California factory,0.255,0.745,0.0,-0.34
TSLA,2021-03-12,11:13AM,Electric-Vehicle Stocks Dash Rebound Hopes as Bad News Piles Up,0.245,0.5589999999999999,0.196,-0.1779
TSLA,2021-03-12,11:17AM,"Swiss Police Raid Apartment of Verkada Hacker, Seize Devices",0.0,1.0,0.0,0.0
TSLA,2021-03-12,01:06PM,"Tesla investor sues Musk, claims tweets violate SEC settlement",0.28600000000000003,0.7140000000000001,0.0,-0.4939
TSLA,2021-03-12,01:55PM,"UPDATE 1-Tesla investor sues Musk, claims tweets violate SEC settlement",0.262,0.738,0.0,-0.4939
TSLA,2021-03-12,02:02PM,Tesla: Breaking Down Mizuhos New Bullish Call,0.0,1.0,0.0,0.0
TSLA,2021-03-12,04:25PM,Tesla Expanding Insurance On Its Cars To Illinois,0.0,1.0,0.0,0.0
TSLA,2021-03-12,04:09PM,Short Seller Adds Another EV Stock To Its Hit List,0.0,1.0,0.0,0.0
TSLA,2021-03-12,04:14PM,NTSB Slams Tesla Autopilot in Push for Stricter Autonomous Driving Standards,0.0,1.0,0.0,0.0
TSLA,2021-03-12,11:06AM,Stocks mixed after record-setting rally,0.0,1.0,0.0,0.0
TSLA,2021-03-12,05:45PM,Tesla (TSLA) Stock Sinks As Market Gains: What You Should Know,0.0,0.8059999999999999,0.19399999999999998,0.34
TSLA,2021-03-12,04:00PM,"Americas Top 1,200 Financial Advisors",0.0,0.69,0.31,0.2023
TSLA,2021-03-12,10:17AM,Tesla Shares Drop After Fire at EV Makers California Plant,0.32799999999999996,0.511,0.161,-0.3182
TSLA,2021-03-12,01:45PM,Nasdaq Slips As Biden Stimulus Raises These Fears; Dow Rallies; Warren Buffett Stock Crumbles,0.177,0.823,0.0,-0.4215
TSLA,2021-03-12,10:09AM,Tesla In Talks With Tata Power For India Charging Infrastructure,0.0,1.0,0.0,0.0
TSLA,2021-03-12,12:23AM,Tesla Delays Model S Plaid Plus Deliveries To Middle Of Next Year,0.0,1.0,0.0,0.0
TSLA,2021-03-12,02:53AM,"Tesla Fremont Factory Suffers Fire Damage, No Injuries Reported",0.6859999999999999,0.314,0.0,-0.872
TSLA,2021-03-12,05:20AM,Tesla in talks with Tata Power for EV charging infrastructure -report,0.0,1.0,0.0,0.0
TSLA,2021-03-12,05:31AM,Tesla in talks with India's Tata Power for EV charging infrastructure -report,0.0,1.0,0.0,0.0
TSLA,2021-03-12,06:04AM,2 Stocks Cathie Wood Loves That Should Be Bigger Winners Than Tesla,0.0,0.57,0.43,0.7783
TSLA,2021-03-12,05:48AM,UPDATE 2-Tesla in talks with India's Tata Power for EV charging infrastructure -report,0.0,1.0,0.0,0.0
TSLA,2021-03-12,07:00AM,"Top-Notch Mutual Fund Loves Facebook, Other FAANG Stocks, Taiwan Semiconductor",0.0,0.7090000000000001,0.29100000000000004,0.5719
TSLA,2021-03-12,07:05AM,Why Is Everyone Talking About Electric Vehicle Stocks?,0.0,1.0,0.0,0.0
TSLA,2021-03-12,07:45AM,"Is Tesla Stock A Buy After A Giant Run And Transformative, Robust Year?",0.0,0.8059999999999999,0.19399999999999998,0.34
TSLA,2021-03-12,09:37AM,It's Not Too Late to Buy the Bounce: These 3 Unstoppable Stocks Are Still 20% Off Their Highs,0.10099999999999999,0.899,0.0,-0.2023
TSLA,2021-03-12,06:27AM,"XPeng stock falls even as losses narrow and revenue rises, amid broader weakness in EV stocks",0.282,0.718,0.0,-0.6705
TSLA,2021-03-12,10:14AM,Lordstown Motors shorted by Hindenburg research,0.0,1.0,0.0,0.0
TSLA,2021-03-13,07:01PM,The King of Nickel Is Betting Big on a Green Future in Batteries,0.0,1.0,0.0,0.0
TSLA,2021-03-13,12:00PM,3 Major Technology Advantages That Lucid Motors Has Over Tesla,0.0,0.762,0.23800000000000002,0.3612
TSLA,2021-03-13,07:00PM,Panasonic to reduce Tesla reliance as battery tie-up evolves,0.0,1.0,0.0,0.0
TSLA,2021-03-13,02:49PM,US Transportation Regulator Singles Out Tesla In Calling For Tighter Autonomous Driving Rules,0.0,1.0,0.0,0.0
TSLA,2021-03-13,10:19AM,"Investor Sues Elon Musk, Tesla Board Over 'Erratic' Tweeting, Alleging Violation Of SEC Settlement",0.198,0.802,0.0,-0.4939
TSLA,2021-03-13,08:00AM,Tesla Accepts Payment in Bitcoin: Should Landlords Do the Same?,0.0,0.7959999999999999,0.204,0.3182
TSLA,2021-03-13,07:00AM,"One Bank Made Big Bets on Apple, Tesla, Nio, and Other EV Stocks",0.0,1.0,0.0,0.0
TSLA,2021-03-13,10:00AM,"Benzinga's Bulls And Bears Of The Week: Apple, Lemonade, Sundial, Tesla And More",0.0,1.0,0.0,0.0
TSLA,2021-03-14,04:00AM,Outgoing CEO says Panasonic must cut Tesla reliance as battery tie-up evolves: FT,0.13699999999999998,0.7190000000000001,0.14400000000000002,0.0258
TSLA,2021-03-14,01:49AM,Economic Calendar - Top 5 Things to Watch This Week,0.0,0.795,0.205,0.2023
TSLA,2021-03-14,03:42AM,Outgoing CEO says Panasonic must cut Tesla reliance as battery tie-up evolves -FT,0.13699999999999998,0.7190000000000001,0.14400000000000002,0.0258
TSLA,2021-03-14,10:36PM,Elon Musk's Weekend Dogemania: Calls On Coinbase To Support Dogecoin And Sends Wrong Crypto Soaring Again,0.157,0.7070000000000001,0.136,-0.1027
TSLA,2021-03-14,08:00PM,Musk to become technoking of Tesla,0.0,1.0,0.0,0.0
TSLA,2021-03-14,08:00PM,Elon Musk now identifies as Technoking of Tesla,0.0,1.0,0.0,0.0
TSLA,2021-03-14,05:21PM,Tesla factory had more than 400 COVID-19 cases after Elon Musks defiant reopening: report,0.128,0.872,0.0,-0.2263
TSLA,2021-03-14,01:00PM,GM Is Betting Big On Electric Vehicles,0.0,1.0,0.0,0.0
TSLA,2021-03-14,08:10AM,Is GM Stock A Buy? General Motors Makes Bullish Move As Tesla Struggles,0.185,0.815,0.0,-0.3612
TSLA,2021-03-14,07:07AM,What Apple Investors Should Be Watching,0.0,1.0,0.0,0.0
TSLA,2021-03-14,06:45AM,These 3 Tech Stocks Are Building the Future,0.0,1.0,0.0,0.0
TSLA,2021-03-14,03:48AM,Outgoing CEO says Panasonic must cut Tesla reliance as battery tie-up evolves - Financial Times,0.129,0.736,0.135,0.0258
TSLA,2021-03-15,11:36PM,China Signal Users Report Difficulty Accessing Messaging App,0.255,0.745,0.0,-0.34
TSLA,2021-03-15,03:15AM,Elon Musk Officially Is Now the 'Technoking' of Tesla,0.0,1.0,0.0,0.0
TSLA,2021-03-15,01:55PM,Tesla faces race with Volkswagen as German car giant targets battery costs and new gigafactories,0.0,1.0,0.0,0.0
TSLA,2021-03-15,02:36PM,"Dow Jones Rises, Nasdaq Leads; Airlines Soar; Germany, France Suspend Covid Vaccine",0.17300000000000001,0.8270000000000001,0.0,-0.3182
TSLA,2021-03-15,02:38PM,US STOCKS-Dow hits record high as Wall Street rises,0.0,1.0,0.0,0.0
TSLA,2021-03-15,02:55PM,"Billions poured into electric-vehicle companies, but much more will be needed before the auto industry changes",0.0,1.0,0.0,0.0
TSLA,2021-03-15,03:11PM,Tesla Semi Prototype Hits The Test Track: Watch The Official Video,0.0,1.0,0.0,0.0
TSLA,2021-03-15,03:25PM,The Tesla bubble: Bets on electric cars and the rise of SPACs have led to a new version of the dot-com boom,0.0,1.0,0.0,0.0
TSLA,2021-03-15,04:00PM,US STOCKS-S&P 500 ends at record high as Wall Street rises,0.0,1.0,0.0,0.0
TSLA,2021-03-15,04:04PM,Volkswagen Lays Out Ambitious EV Battery Plans After Partner's Big Breakthrough,0.0,0.763,0.237,0.4767
TSLA,2021-03-15,01:05PM,Bitcoin Falls After Weekend Rally Pushes Token to Fresh Record,0.0,0.7959999999999999,0.204,0.3182
TSLA,2021-03-15,04:21PM,US STOCKS-S&P 500 and Dow end session at record highs,0.0,1.0,0.0,0.0
TSLA,2021-03-15,05:04PM,Major Tech Supplier Stops Selling Verkada Cameras After Hack,0.16699999999999998,0.833,0.0,-0.1531
TSLA,2021-03-15,05:08PM,"Tesla Model 3 Surpasses VW ID.3 In Germany, Becomes Country's No. 2 EV Bestseller In February",0.145,0.855,0.0,-0.29600000000000004
TSLA,2021-03-15,05:56PM,"Elon Musk's Tweet About Selling NFTs Song As NFT Gets $100,000 Bid",0.0,1.0,0.0,0.0
TSLA,2021-03-15,06:46PM,U.S. safety agency probes 'violent' Tesla crash in Detroit,0.21600000000000003,0.56,0.22399999999999998,0.0258
TSLA,2021-03-15,08:54PM,UPDATE 2-U.S. safety agency probes 'violent' Tesla crash in Detroit,0.2,0.593,0.207,0.0258
TSLA,2021-03-15,11:01PM,Dow Jones Futures Fall As Bitcoin Tumbles From Record Highs; This EV Leader Surges Again,0.0,1.0,0.0,0.0
TSLA,2021-03-15,11:04PM,NTSB sends team to Detroit to investigate violent Tesla crash,0.452,0.5479999999999999,0.0,-0.765
TSLA,2021-03-15,11:17PM,Bitcoin Losses Accelerate After Weekend Rally to Record High,0.252,0.748,0.0,-0.4019
TSLA,2021-03-15,04:28PM,Elon Musk Is Now the Technoking of Tesla. Whats Behind the Name.,0.0,1.0,0.0,0.0
TSLA,2021-03-15,12:47PM,"What Musk's 'Technoking' Title, Tesla's New Truck Exec Mean For Automaker's Tech, Bitcoin, Semi Plans",0.0,1.0,0.0,0.0
